3128,OPEN,Cannot infer filetype from suffix of temporary path,,2021-11-30T14:24:33Z
3124,OPEN,No default priority option in config and negative priority set to zero,,2021-11-23T09:48:50Z
3123,CLOSED,format for config times is inconsistent,,2022-01-11T02:14:09Z
3120,OPEN,project-based namespace,,2021-11-15T11:24:10Z
3119,OPEN,Cannot configure History server on Snowflake.,,2021-11-11T17:42:02Z
3118,CLOSED,Tasks look the same for scheduler but they have different output.,,2021-11-15T16:08:44Z
3116,OPEN,Permission denied,,2021-10-26T23:25:28Z
3114,OPEN,show all tasks in dependency graph [feature request],,2021-10-20T12:28:07Z
3109,OPEN,Cannot disable command line parser accepting abbreviations of parameters,,2021-09-24T11:04:58Z
3107,OPEN,Luigi scheduler ignores retry-delay,,2022-01-12T18:24:07Z
3106,CLOSED,Duplicated outputs of luigi.task.flatten_output,wontfix,2023-02-09T01:04:09Z
3104,OPEN,Best practices for testing luigi pipelines,wontfix,2022-01-09T01:14:41Z
3102,OPEN,Add support for hashicorp nomad as backend,wontfix,2022-01-09T01:14:43Z
3100,OPEN,value error creating uncaught exception,,2022-02-19T08:56:54Z
3097,CLOSED,retcode appears to be 0 on failure,,2021-08-23T03:18:58Z
3096,OPEN,Pid files used for locking are not deleted,wontfix,2022-01-09T01:14:45Z
3095,OPEN,Is there a good way to get the stacktrace of a task from outside?,wontfix,2022-01-09T01:14:46Z
3094,OPEN,Latest version of luigi on dockerhub is stale,wontfix,2022-01-09T01:14:47Z
3092,CLOSED,an optional argument to disable the web GUI,,2021-07-28T06:46:06Z
3090,OPEN,Tasks failing in complete() or requires() have unknown state and last forever.,wontfix,2022-01-09T01:14:49Z
3087,OPEN,luigi.rpc.RPCError started occurring since 7 hours ago,wontfix,2022-01-09T01:14:51Z
3084,OPEN,Tasks hanging in complete state,wontfix,2022-01-09T01:14:52Z
3082,OPEN,Error passing `LocalTarget` to Pandas DataFrame `to_csv()` method - but works with earlier version,wontfix,2022-01-09T01:14:42Z
3080,CLOSED,Visualiser doesn't show "Actions" code unless it is in a very wide desktop screen,,2021-06-11T12:29:07Z
3078,CLOSED,Issue using shutil - fail copying files,,2021-05-11T12:37:36Z
3075,OPEN,Priority sometimes not correctly set,wontfix,2022-07-07T09:05:01Z
3070,OPEN,Bug in luigi.contrib.ftp.py on putting file to ftp from Windows,,2023-04-17T18:33:26Z
3053,CLOSED,Tasks Stuck Running,,2021-11-05T05:28:01Z
3050,OPEN,Lock module: getpcmd on Windows is brittle to changes in wmic,wontfix,2022-01-09T01:14:56Z
3049,OPEN,tasks left pending because dependency run by other worker,wontfix,2022-01-09T01:14:57Z
3046,CLOSED,python 3.8 support,,2021-04-06T16:34:50Z
3043,OPEN,Why is the write method of mongodb module not insert but update?,wontfix,2022-01-09T01:14:59Z
3042,CLOSED,[question] one job at a time,,2021-02-03T16:06:10Z
3041,OPEN,BigQueryLoadTask doesn't fully support UTF-8,wontfix,2022-01-09T01:14:58Z
3039,CLOSED,import luigui ---> syntax error ---> VS Code,,2021-01-26T21:49:28Z
3038,OPEN,Return non-zero exit code on task failure,wontfix,2022-01-09T01:15:00Z
3037,OPEN,Luigi registers twice classes after re-executing definition of class, and this causes problems when yielding tasks,wontfix,2022-01-09T01:14:50Z
3036,OPEN,Gzip LocalTarget behavior on Windows,wontfix,2022-01-09T01:15:01Z
3035,OPEN,CPU & Memory consumption seems very high when running the local scheduler,wontfix,2022-01-09T01:15:02Z
3034,CLOSED,TaskClassAmbigiousException in Luigi when yielding tasks in run(),,2021-01-24T22:10:08Z
3029,CLOSED,Throwing warning for deprecated `disable_window_seconds`,,2021-08-22T14:13:21Z
3028,OPEN,Why query in ImportIntoHiveTableTask use time as default partition setting?,wontfix,2022-01-09T01:15:03Z
3025,CLOSED,Retry procedure is naively implemented,,2021-02-24T23:41:37Z
3021,OPEN,Notes on luigi.Task input() behavior,wontfix,2022-01-09T01:15:04Z
3020,OPEN,AttributeError: 'LocalTarget' object has no attribute 'is_tmp',,2023-11-06T09:34:24Z
3018,CLOSED,stderr not printed from failing spark jobs,,2021-01-17T00:27:31Z
3016,CLOSED,Migrate CI Away from travis-ci.org,,2021-04-10T13:47:40Z
3015,OPEN,Time measurement with tqdm not working while yielding dynamic dependencies,wontfix,2022-01-09T01:15:06Z
3012,CLOSED,Feature Request: Catch exceptions from dynamic dependencies,,2020-11-16T11:07:30Z
3010,OPEN,Exceptions in output()/complete() emit DEPENDENCY_MISSING events,,2024-04-18T12:02:12Z
3006,CLOSED,Enabling task history schedule,,2022-04-28T01:11:09Z
3005,OPEN,Pass token_credential to BlockBlobService,wontfix,2022-01-09T02:13:40Z
3003,OPEN,Incorrect return type in on_failure() causes batch emails to silently fail,wontfix,2022-01-09T02:13:41Z
2999,OPEN,ExternalProgramTask: stream_for_searching_tracking_url is not flushed, causing program output to be lost.,wontfix,2022-01-09T02:13:43Z
2997,OPEN,A task fails if the subsequent task is already completed,wontfix,2022-01-09T02:13:44Z
2995,OPEN,No way to control working directory on remote host when running commands via luigi.contrib.ssh.RemoteContext,wontfix,2022-01-09T02:13:45Z
2994,OPEN,WrapperTask triggers many unnecessary complete() calls,wontfix,2022-01-09T01:15:07Z
2993,OPEN,Signature of the bulk_complete method is unclear,wontfix,2022-01-09T02:13:46Z
2992,OPEN,Repetitive complete() calls because of the check_unfulfilled_deps setting,wontfix,2022-01-09T02:13:42Z
2991,OPEN,Populate python_requires setup.py field,wontfix,2022-01-09T02:13:47Z
